,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logisticregression__C,param_logisticregression__penalty,param_logisticregression__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.26439552307128905,0.008767005519795793,0.04989128112792969,0.0015035675471093447,0.1,l2,liblinear,"{'logisticregression__C': 0.1, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'liblinear'}",0.8277777777777778,0.6178571428571428,0.5722222222222222,0.5611111111111111,0.6027777777777777,0.6363492063492064,0.09786412647746252,13
1,0.4654186248779297,0.01384085259908576,0.04738197326660156,0.00040903803511665174,0.1,l2,lbfgs,"{'logisticregression__C': 0.1, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.8190476190476191,0.503968253968254,0.5583333333333333,0.5952380952380952,0.6666666666666666,0.6286507936507937,0.10890624138657239,14
2,0.2773580074310303,0.00720461246821922,0.049100303649902345,0.0006177331175797993,0.1,l1,liblinear,"{'logisticregression__C': 0.1, 'logisticregression__penalty': 'l1', 'logisticregression__solver': 'liblinear'}",0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,18
3,0.23778762817382812,0.005791941155529609,0.0,0.0,0.1,l1,lbfgs,"{'logisticregression__C': 0.1, 'logisticregression__penalty': 'l1', 'logisticregression__solver': 'lbfgs'}",,,,,,,,22
4,0.27498159408569334,0.007168359261658625,0.04944267272949219,0.0003893318485374333,0.5,l2,liblinear,"{'logisticregression__C': 0.5, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'liblinear'}",0.7761904761904761,0.5873015873015873,0.6333333333333332,0.6194444444444445,0.6666666666666666,0.6565873015873016,0.06500363383063051,10
5,0.6195640563964844,0.029321521532643183,0.052480125427246095,0.0038820313849725354,0.5,l2,lbfgs,"{'logisticregression__C': 0.5, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.8190476190476191,0.5634920634920635,0.6333333333333333,0.5456349206349206,0.6666666666666666,0.6456349206349206,0.09737872081892206,11
6,0.31276164054870603,0.02642403802021435,0.04965453147888184,0.0015140418412417185,0.5,l1,liblinear,"{'logisticregression__C': 0.5, 'logisticregression__penalty': 'l1', 'logisticregression__solver': 'liblinear'}",0.22222222222222224,0.20168067226890754,0.1714285714285714,0.11929824561403508,0.17777777777777778,0.17848149786230283,0.03465356836055297,17
7,0.23657336235046386,0.007949342005433995,0.0,0.0,0.5,l1,lbfgs,"{'logisticregression__C': 0.5, 'logisticregression__penalty': 'l1', 'logisticregression__solver': 'lbfgs'}",,,,,,,,21
8,0.27642230987548827,0.0061600697905563485,0.04982304573059082,0.0012833794449607647,1,l2,liblinear,"{'logisticregression__C': 1, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'liblinear'}",0.8190476190476191,0.5873015873015873,0.6333333333333333,0.6194444444444445,0.6666666666666666,0.6651587301587301,0.08105362483110506,9
9,0.8030747890472412,0.04156450155911601,0.05073413848876953,0.0013612296805321166,1,l2,lbfgs,"{'logisticregression__C': 1, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.8190476190476191,0.5634920634920635,0.7138888888888889,0.5750000000000001,0.6666666666666666,0.6676190476190477,0.09433253340258954,8
10,0.3439634799957275,0.007667565889284159,0.05046486854553223,0.0014608573874974509,1,l1,liblinear,"{'logisticregression__C': 1, 'logisticregression__penalty': 'l1', 'logisticregression__solver': 'liblinear'}",0.337037037037037,0.15873015873015872,0.25555555555555554,0.13809523809523808,0.26666666666666666,0.2312169312169312,0.07344784420162542,16
11,0.2382558822631836,0.0017741059830882124,0.0,0.0,1,l1,lbfgs,"{'logisticregression__C': 1, 'logisticregression__penalty': 'l1', 'logisticregression__solver': 'lbfgs'}",,,,,,,,20
12,0.28287858963012696,0.006601137387319342,0.047764015197753903,0.0019191544030275494,3,l2,liblinear,"{'logisticregression__C': 3, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'liblinear'}",0.8190476190476191,0.7166666666666667,0.6480158730158729,0.6194444444444445,0.6666666666666666,0.6939682539682539,0.07010115787632122,3
13,1.0695969104766845,0.042772111828950465,0.04956808090209961,0.0014006642443985964,3,l2,lbfgs,"{'logisticregression__C': 3, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.7761904761904761,0.6928571428571427,0.7150793650793651,0.5750000000000001,0.6666666666666666,0.6851587301587301,0.0659062834335175,6
14,0.4133318901062012,0.021795434576247066,0.04973526000976562,0.0012292522654353273,3,l1,liblinear,"{'logisticregression__C': 3, 'logisticregression__penalty': 'l1', 'logisticregression__solver': 'liblinear'}",0.6964285714285715,0.5623015873015873,0.6654761904761904,0.3345238095238095,0.6166666666666667,0.5750793650793651,0.128574465964514,15
15,0.23565216064453126,0.004588086383866955,0.0,0.0,3,l1,lbfgs,"{'logisticregression__C': 3, 'logisticregression__penalty': 'l1', 'logisticregression__solver': 'lbfgs'}",,,,,,,,23
16,0.28348665237426757,0.0031616948428502406,0.04966583251953125,0.0006427433361932846,7,l2,liblinear,"{'logisticregression__C': 7, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'liblinear'}",0.8190476190476191,0.7841269841269843,0.5559523809523809,0.6194444444444445,0.6666666666666666,0.6890476190476191,0.09899488573844799,5
17,1.3502073287963867,0.060411254287895,0.04990663528442383,0.0005568844495256176,7,l2,lbfgs,"{'logisticregression__C': 7, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.7761904761904761,0.7166666666666667,0.7706349206349207,0.6194444444444445,0.6666666666666666,0.7099206349206348,0.06029970498906861,2
18,0.4254278659820557,0.020631578832958904,0.049460840225219724,0.001762077993611477,7,l1,liblinear,"{'logisticregression__C': 7, 'logisticregression__penalty': 'l1', 'logisticregression__solver': 'liblinear'}",0.7658730158730158,0.6357142857142858,0.7746031746031745,0.5535714285714286,0.49444444444444446,0.6448412698412698,0.11182086239074539,12
19,0.23617630004882811,0.002226078319249003,0.0,0.0,7,l1,lbfgs,"{'logisticregression__C': 7, 'logisticregression__penalty': 'l1', 'logisticregression__solver': 'lbfgs'}",,,,,,,,19
20,0.29504666328430174,0.007012908960471478,0.04889178276062012,0.0016423139399691024,10,l2,liblinear,"{'logisticregression__C': 10, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'liblinear'}",0.7761904761904761,0.7841269841269843,0.6134920634920634,0.6194444444444445,0.6666666666666666,0.691984126984127,0.0743572440858816,4
21,1.554494571685791,0.10620950727998464,0.05002908706665039,0.0012230316171737425,10,l2,lbfgs,"{'logisticregression__C': 10, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.8396825396825398,0.7166666666666667,0.725,0.6194444444444445,0.6666666666666666,0.7134920634920635,0.07362624454031053,1
22,0.4302833557128906,0.011963678368147154,0.05201177597045899,0.003434913100290193,10,l1,liblinear,"{'logisticregression__C': 10, 'logisticregression__penalty': 'l1', 'logisticregression__solver': 'liblinear'}",0.7658730158730158,0.6706349206349206,0.8301587301587302,0.6507936507936508,0.4507936507936508,0.6736507936507936,0.12899342855639268,7
23,0.22226247787475586,0.025529260537728044,0.0,0.0,10,l1,lbfgs,"{'logisticregression__C': 10, 'logisticregression__penalty': 'l1', 'logisticregression__solver': 'lbfgs'}",,,,,,,,24
